"","ensembl_gene_id","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"21","ENSG00000171962","17",17972813,18016889,1,"protein_coding","DRC3","dynein regulatory complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25384]"
"22","ENSG00000175161","3",84958989,86074429,1,"protein_coding","CADM2","cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:29849]"
"23","ENSG00000178074","2",199911293,199955935,1,"protein_coding","C2orf69","chromosome 2 open reading frame 69 [Source:HGNC Symbol;Acc:HGNC:26799]"
"24","ENSG00000178773","16",89575758,89597246,1,"protein_coding","CPNE7","copine 7 [Source:HGNC Symbol;Acc:HGNC:2320]"
"25","ENSG00000182463","20",52972358,53495330,1,"protein_coding","TSHZ2","teashirt zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:13010]"
"26","ENSG00000196391","15",90352284,90369146,1,"protein_coding","ZNF774","zinc finger protein 774 [Source:HGNC Symbol;Acc:HGNC:33108]"
"27","ENSG00000197321","10",29457338,29736959,-1,"protein_coding","SVIL","supervillin [Source:HGNC Symbol;Acc:HGNC:11480]"
"28","ENSG00000197705","18",32672673,32773023,-1,"protein_coding","KLHL14","kelch like family member 14 [Source:HGNC Symbol;Acc:HGNC:29266]"
"29","ENSG00000198406","3",116645902,116646727,-1,"processed_pseudogene","BZW1P2","basic leucine zipper and W2 domains 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33954]"
"30","ENSG00000198722","9",35161992,35405338,1,"protein_coding","UNC13B","unc-13 homolog B [Source:HGNC Symbol;Acc:HGNC:12566]"
"31","ENSG00000204564","6",30647039,30653210,1,"protein_coding","C6orf136","chromosome 6 open reading frame 136 [Source:HGNC Symbol;Acc:HGNC:21301]"
"32","ENSG00000205086","2",41935368,41956806,-1,"lncRNA","C2orf91","chromosome 2 putative open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:42966]"
"33","ENSG00000205111","2",39175646,39229588,-1,"protein_coding","CDKL4","cyclin dependent kinase like 4 [Source:HGNC Symbol;Acc:HGNC:19287]"
"34","ENSG00000223768","21",45288050,45297806,1,"lncRNA","LINC00205","long intergenic non-protein coding RNA 205 [Source:HGNC Symbol;Acc:HGNC:16420]"
"35","ENSG00000223820","10",87817928,87845612,1,"transcribed_unprocessed_pseudogene","CFL1P1","cofilin 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:28560]"
"36","ENSG00000226620","13",105702699,105797539,1,"lncRNA","LINC00343","long intergenic non-protein coding RNA 343 [Source:HGNC Symbol;Acc:HGNC:42500]"
"37","ENSG00000228549","1",16870945,16883659,1,"lncRNA","","novel transcript"
"38","ENSG00000229622","13",95692538,95693972,1,"processed_pseudogene","MTND5P2","MT-ND5 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:41919]"
"39","ENSG00000229692","2",38992279,38993857,-1,"lncRNA","SOS1-IT1","SOS1 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41385]"
"40","ENSG00000229807","X",73820649,73852723,-1,"lncRNA","XIST","X inactive specific transcript [Source:HGNC Symbol;Acc:HGNC:12810]"
"41","ENSG00000232021","4",108167525,108258037,1,"lncRNA","LEF1-AS1","LEF1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40339]"
"42","ENSG00000232774","14",61570405,61658696,1,"lncRNA","","novel transcript"
"43","ENSG00000234518","1",89104285,89104767,-1,"processed_pseudogene","PTGES3P1","prostaglandin E synthase 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43824]"
"44","ENSG00000235613","1",77847110,77848802,1,"processed_pseudogene","NSRP1P1","nuclear speckle splicing regulatory protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38087]"
"45","ENSG00000237414","9",23894990,23898054,-1,"lncRNA","","novel transcript"
"46","ENSG00000240216","3",149229356,149291800,-1,"transcribed_unitary_pseudogene","CPHL1P","ceruloplasmin and hephaestin like 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:31714]"
"47","ENSG00000243302","7",128651185,128652334,1,"processed_pseudogene","","novel pseudogene"
"48","ENSG00000250722","5",42799880,42887392,-1,"protein_coding","SELENOP","selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]"
"49","ENSG00000250995","X",118769796,118770857,1,"processed_pseudogene","TMEM30BP1","TMEM30B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55058]"
"50","ENSG00000251034","8",22481588,22553444,-1,"lncRNA","","novel transcript"
"51","ENSG00000251379","4",15358141,15420032,-1,"lncRNA","","novel transcript"
"52","ENSG00000253307","8",141252286,141253292,-1,"lncRNA","","novel transcript"
"53","ENSG00000255423","3",73061659,73063337,1,"protein_coding","EBLN2","endogenous Bornavirus like nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:25493]"
"54","ENSG00000258045","12",55731264,55731531,-1,"misc_RNA","Metazoa_SRP","Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]"
"55","ENSG00000258733","14",85911438,86161500,1,"lncRNA","LINC02328","long intergenic non-protein coding RNA 2328 [Source:HGNC Symbol;Acc:HGNC:53248]"
"56","ENSG00000260388","13",47930153,47932622,-1,"lncRNA","LINC00562","long intergenic non-protein coding RNA 562 [Source:HGNC Symbol;Acc:HGNC:43706]"
"57","ENSG00000260448","16",25085168,25111555,-1,"lncRNA","LCMT1-AS1","LCMT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51177]"
"58","ENSG00000262155","16",25066937,25088618,1,"lncRNA","LINC02175","long intergenic non-protein coding RNA 2175 [Source:HGNC Symbol;Acc:HGNC:27550]"
"59","ENSG00000262714","16",53386944,53389085,1,"lncRNA","","novel transcript"
"60","ENSG00000266777","17",32039974,32042828,1,"transcribed_processed_pseudogene","SH3GL1P1","SH3 domain containing GRB2 like 1, endophilin A2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10835]"
"61","ENSG00000268903","1",135141,135895,-1,"processed_pseudogene","","novel pseudogene"
"62","ENSG00000271079","7",143571801,143574387,1,"protein_coding","CTAGE15","CTAGE family member 15 [Source:HGNC Symbol;Acc:HGNC:37295]"
"63","ENSG00000272398","6",106969831,106975627,-1,"protein_coding","CD24","CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]"
"64","ENSG00000272630","10",73098044,73101297,-1,"lncRNA","","novel transcript"
"65","ENSG00000273356","3",50669989,50672048,1,"lncRNA","LINC02019","long intergenic non-protein coding RNA 2019 [Source:HGNC Symbol;Acc:HGNC:52854]"
"66","ENSG00000277589","17",36998598,37000034,1,"lncRNA","","novel transcript, sense intronic AATF"
"67","ENSG00000277701","2",97281356,97291849,1,"lncRNA","","novel transcript"
"68","ENSG00000278740","17",68188547,68189165,1,"lncRNA","","novel transcript"
"69","ENSG00000278768","11",117288453,117293571,1,"lncRNA","BACE1-AS","BACE1 antisense RNA [Source:HGNC Symbol;Acc:HGNC:37125]"
"70","ENSG00000279202","16",24098239,24099971,1,"TEC","","novel transcript"
"71","ENSG00000279727","3",36819276,36822498,-1,"lncRNA","LINC02033","long intergenic non-protein coding RNA 2033 [Source:HGNC Symbol;Acc:HGNC:52867]"
"72","ENSG00000279766","8",140572142,140572812,-1,"TEC","","TEC"
"73","ENSG00000280135","6",107697299,107700218,-1,"TEC","","TEC"
"74","ENSG00000286088","10",122832167,122879583,-1,"protein_coding","","novel protein"
"75","ENSG00000286269","4",117648832,117657312,-1,"lncRNA","","novel transcript"
"76","ENSG00000287554","7",121304657,121309842,-1,"lncRNA","","novel transcript"
"77","ENSG00000288056","6",145784406,145786559,-1,"lncRNA","","novel transcript"
